Waste_Weight_kg,Unit_Price_per_kg,Cost_Loss,Day,Month,Meal_Dinner,Meal_Lunch,Food_Category_Rice,Food_Category_Soup,Food_Category_Vegetables,Canteen_Section_B,Canteen_Section_C,Canteen_Section_D,Day_of_Week_Monday,Day_of_Week_Saturday,Day_of_Week_Sunday,Day_of_Week_Thursday,Day_of_Week_Tuesday,Day_of_Week_Wednesday
3.94,3.0,11.82,17,6,False,True,False,False,True,False,False,True,False,False,False,False,True,False
0.77,2.0,1.54,1,7,False,False,True,False,False,True,False,False,False,False,False,False,True,False
2.86,1.5,4.29,8,7,True,False,False,True,False,False,False,True,False,False,False,False,True,False
4.97,8.0,39.76,27,7,False,True,False,False,False,False,True,False,False,False,True,False,False,False
4.99,8.0,39.92,30,7,False,False,False,False,False,False,False,True,False,False,False,False,False,True
1.99,1.5,2.98,1,8,False,False,False,True,False,False,False,True,False,False,False,False,False,False
0.28,3.0,0.84,4,8,False,False,False,False,True,False,False,False,True,False,False,False,False,False
1.56,3.0,4.68,15,7,True,False,False,False,True,True,False,False,False,False,False,False,True,False
0.62,8.0,4.96,8,8,True,False,False,False,False,False,False,False,False,False,False,False,False,False
2.52,3.0,7.56,22,7,True,False,False,False,True,False,True,False,False,False,False,False,True,False
2.93,2.0,5.86,21,7,True,False,True,False,False,False,True,False,True,False,False,False,False,False
2.16,3.0,6.48,19,6,False,True,False,False,True,False,True,False,False,False,False,True,False,False
0.52,2.0,1.04,19,7,True,False,True,False,False,False,True,False,False,True,False,False,False,False
2.0,1.5,3.0,9,8,False,False,False,True,False,False,False,True,False,True,False,False,False,False
3.08,2.0,6.16,20,7,False,False,True,False,False,True,False,False,False,False,True,False,False,False
2.59,1.5,3.88,12,6,False,False,False,True,False,False,False,False,False,False,False,True,False,False
3.97,2.0,7.94,13,7,True,False,True,False,False,True,False,False,False,False,True,False,False,False
1.42,8.0,11.36,31,7,False,True,False,False,False,True,False,False,False,False,False,True,False,False
3.66,2.0,7.32,2,8,True,False,True,False,False,False,False,False,False,True,False,False,False,False
2.48,1.5,3.72,19,6,True,False,False,True,False,True,False,False,False,False,False,True,False,False
2.75,1.5,4.12,29,7,False,True,False,True,False,False,False,True,False,False,False,False,True,False
2.4,3.0,7.2,8,7,True,False,False,False,True,False,True,False,False,False,False,False,True,False
3.08,1.5,4.62,17,6,True,False,False,True,False,False,True,False,False,False,False,False,True,False
1.76,2.0,3.52,22,6,False,True,True,False,False,False,False,False,False,False,True,False,False,False
3.87,8.0,30.96,11,7,False,True,False,False,False,False,True,False,False,False,False,False,False,False
0.86,8.0,6.88,29,6,False,False,False,False,False,True,False,False,False,False,True,False,False,False
4.02,3.0,12.06,6,8,False,True,False,False,True,False,True,False,False,False,False,False,False,True
4.7,2.0,9.4,22,6,True,False,True,False,False,True,False,False,False,False,True,False,False,False
3.62,3.0,10.86,5,8,False,True,False,False,True,False,False,False,False,False,False,False,True,False
2.19,3.0,6.57,18,6,False,True,False,False,True,False,False,False,False,False,False,False,False,True
0.38,8.0,3.04,21,7,False,False,False,False,False,False,False,True,True,False,False,False,False,False
4.05,2.0,8.1,21,7,True,False,True,False,False,True,False,False,True,False,False,False,False,False
4.12,1.5,6.18,12,6,False,True,False,True,False,False,False,False,False,False,False,True,False,False
4.8,8.0,38.4,15,7,False,False,False,False,False,True,False,False,False,False,False,False,True,False
4.3,1.5,6.45,1,8,False,True,False,True,False,False,False,False,False,False,False,False,False,False
0.6,8.0,4.8,16,7,True,False,False,False,False,False,False,True,False,False,False,False,False,True
4.61,1.5,6.92,23,7,False,True,False,True,False,False,False,False,False,False,False,False,False,True
1.17,8.0,9.36,18,7,False,True,False,False,False,False,False,False,False,False,False,False,False,False
2.74,8.0,21.92,6,7,False,True,False,False,False,True,False,False,False,False,True,False,False,False
0.8,1.5,1.2,25,6,False,False,False,True,False,True,False,False,False,False,False,False,False,True
2.96,8.0,23.68,22,6,False,True,False,False,False,False,False,True,False,False,True,False,False,False
2.4,8.0,19.2,25,6,False,True,False,False,False,True,False,False,False,False,False,False,False,True
3.48,1.5,5.22,26,6,True,False,False,True,False,False,False,False,False,False,False,True,False,False
4.35,8.0,34.8,31,7,False,True,False,False,False,False,False,True,False,False,False,True,False,False
4.74,1.5,7.11,13,7,False,False,False,True,False,False,False,False,False,False,True,False,False,False
1.72,2.0,3.44,18,6,True,False,True,False,False,False,False,False,False,False,False,False,False,True
1.96,2.0,3.92,9,7,False,False,True,False,False,False,True,False,False,False,False,False,False,True
1.99,1.5,2.98,12,7,False,False,False,True,False,False,False,True,False,True,False,False,False,False
3.34,2.0,6.68,6,7,False,True,True,False,False,True,False,False,False,False,True,False,False,False
4.26,8.0,34.08,23,7,False,False,False,False,False,False,True,False,False,False,False,False,False,True
3.17,3.0,9.51,30,7,False,False,False,False,True,False,False,True,False,False,False,False,False,True
2.56,8.0,20.48,20,7,True,False,False,False,False,False,True,False,False,False,True,False,False,False
0.4,1.5,0.6,25,7,False,True,False,True,False,False,False,False,False,False,False,False,False,False
3.6,8.0,28.8,22,6,False,False,False,False,False,True,False,False,False,False,True,False,False,False
3.9,1.5,5.85,17,7,False,False,False,True,False,True,False,False,False,False,False,True,False,False
2.45,2.0,4.9,17,6,True,False,True,False,False,True,False,False,False,False,False,False,True,False
4.01,3.0,12.03,10,8,True,False,False,False,True,False,False,False,False,False,True,False,False,False
1.36,2.0,2.72,28,7,False,False,True,False,False,False,False,False,True,False,False,False,False,False
2.68,3.0,8.04,28,6,False,True,False,False,True,False,False,False,False,True,False,False,False,False
3.59,3.0,10.77,9,8,True,False,False,False,True,False,False,False,False,True,False,False,False,False
2.8,8.0,22.4,13,7,False,True,False,False,False,True,False,False,False,False,True,False,False,False
4.86,1.5,7.29,15,6,False,False,False,True,False,False,True,False,False,False,True,False,False,False
4.15,2.0,8.3,31,7,False,True,True,False,False,True,False,False,False,False,False,True,False,False
3.74,2.0,7.48,16,6,False,True,True,False,False,False,False,False,True,False,False,False,False,False
2.87,3.0,8.61,21,6,False,True,False,False,True,False,False,False,False,True,False,False,False,False
4.19,2.0,8.38,23,6,True,False,True,False,False,True,False,False,True,False,False,False,False,False
3.38,3.0,10.14,7,8,False,False,False,False,True,False,True,False,False,False,False,True,False,False
3.76,2.0,7.52,13,6,False,True,True,False,False,False,False,True,False,False,False,False,False,False
3.04,1.5,4.56,2,8,False,True,False,True,False,False,False,False,False,True,False,False,False,False
0.95,2.0,1.9,25,7,False,False,True,False,False,False,True,False,False,False,False,False,False,False
0.46,2.0,0.92,10,7,True,False,True,False,False,False,False,True,False,False,False,True,False,False
3.28,3.0,9.84,24,6,False,True,False,False,True,False,True,False,False,False,False,False,True,False
0.32,8.0,2.56,25,6,True,False,False,False,False,False,False,False,False,False,False,False,False,True
3.54,2.0,7.08,9,8,True,False,True,False,False,False,False,False,False,True,False,False,False,False
1.94,1.5,2.91,28,7,False,True,False,True,False,True,False,False,True,False,False,False,False,False
0.66,2.0,1.32,20,6,False,True,True,False,False,False,False,True,False,False,False,False,False,False
0.22,3.0,0.66,14,7,False,True,False,False,True,False,True,False,True,False,False,False,False,False
1.42,3.0,4.26,1,8,False,True,False,False,True,True,False,False,False,False,False,False,False,False
1.67,8.0,13.36,27,6,True,False,False,False,False,False,True,False,False,False,False,False,False,False
1.75,2.0,3.5,1,7,False,True,True,False,False,False,False,False,False,False,False,False,True,False
0.85,1.5,1.27,5,8,False,False,False,True,False,True,False,False,False,False,False,False,True,False
2.79,2.0,5.58,11,6,True,False,True,False,False,False,False,False,False,False,False,False,False,True
1.82,1.5,2.73,17,7,False,True,False,True,False,False,False,False,False,False,False,True,False,False
3.83,3.0,11.49,16,7,False,True,False,False,True,False,True,False,False,False,False,False,False,True
4.46,3.0,13.38,28,7,True,False,False,False,True,False,False,False,True,False,False,False,False,False
1.1,3.0,3.3,8,7,False,True,False,False,True,False,False,True,False,False,False,False,True,False
2.58,1.5,3.87,20,7,True,False,False,True,False,True,False,False,False,False,True,False,False,False
4.05,8.0,32.4,10,7,False,False,False,False,False,True,False,False,False,False,False,True,False,False
1.89,3.0,5.67,30,6,False,True,False,False,True,False,False,True,True,False,False,False,False,False
3.46,2.0,6.92,9,7,False,False,True,False,False,False,False,True,False,False,False,False,False,True
1.52,8.0,12.16,2,7,False,True,False,False,False,False,False,True,False,False,False,False,False,True
3.03,2.0,6.06,7,7,False,True,True,False,False,False,False,False,True,False,False,False,False,False
4.89,8.0,39.12,12,7,False,True,False,False,False,True,False,False,False,True,False,False,False,False
4.59,3.0,13.77,26,7,True,False,False,False,True,False,True,False,False,True,False,False,False,False
3.64,1.5,5.46,5,7,True,False,False,True,False,False,True,False,False,True,False,False,False,False
1.18,3.0,3.54,7,7,False,True,False,False,True,True,False,False,True,False,False,False,False,False
0.52,3.0,1.56,14,7,False,False,False,False,True,False,False,False,True,False,False,False,False,False
4.84,1.5,7.26,1,8,True,False,False,True,False,False,False,False,False,False,False,False,False,False
0.49,8.0,3.92,13,6,True,False,False,False,False,False,False,True,False,False,False,False,False,False
4.35,3.0,13.05,17,7,True,False,False,False,True,False,False,False,False,False,False,True,False,False
2.17,2.0,4.34,19,7,False,True,True,False,False,False,False,False,False,True,False,False,False,False
1.72,1.5,2.58,24,7,True,False,False,True,False,False,False,True,False,False,False,True,False,False
4.4,1.5,6.6,3,7,True,False,False,True,False,False,False,True,False,False,False,True,False,False
2.66,2.0,5.32,7,8,False,False,True,False,False,False,False,True,False,False,False,True,False,False
4.66,1.5,6.99,22,7,False,False,False,True,False,False,True,False,False,False,False,False,True,False
2.27,1.5,3.41,31,7,False,True,False,True,False,False,False,False,False,False,False,True,False,False
0.37,1.5,0.55,8,8,False,False,False,True,False,False,True,False,False,False,False,False,False,False
0.66,1.5,0.99,8,8,False,True,False,True,False,False,False,False,False,False,False,False,False,False
4.29,1.5,6.44,3,8,False,True,False,True,False,True,False,False,False,False,True,False,False,False
4.52,2.0,9.04,29,7,True,False,True,False,False,False,False,True,False,False,False,False,True,False
2.55,1.5,3.82,13,7,False,True,False,True,False,False,False,True,False,False,True,False,False,False
0.39,1.5,0.58,23,7,False,False,False,True,False,False,False,True,False,False,False,False,False,True
2.68,8.0,21.44,17,6,False,True,False,False,False,True,False,False,False,False,False,False,True,False
3.57,8.0,28.56,27,7,True,False,False,False,False,False,True,False,False,False,True,False,False,False
0.12,8.0,0.96,3,8,True,False,False,False,False,True,False,False,False,False,True,False,False,False
4.6,1.5,6.9,4,8,False,True,False,True,False,False,False,True,True,False,False,False,False,False
2.12,1.5,3.18,7,8,True,False,False,True,False,False,False,True,False,False,False,True,False,False
3.75,1.5,5.62,14,6,False,True,False,True,False,False,False,True,False,True,False,False,False,False
0.81,2.0,1.62,17,6,False,False,True,False,False,False,True,False,False,False,False,False,True,False
1.31,2.0,2.62,6,7,True,False,True,False,False,True,False,False,False,False,True,False,False,False
3.15,1.5,4.72,30,7,False,True,False,True,False,False,True,False,False,False,False,False,False,True
1.6,1.5,2.4,15,7,True,False,False,True,False,False,True,False,False,False,False,False,True,False
0.73,2.0,1.46,24,7,True,False,True,False,False,False,False,True,False,False,False,True,False,False
2.26,3.0,6.78,15,6,False,False,False,False,True,False,False,False,False,False,True,False,False,False
3.42,3.0,10.26,19,6,True,False,False,False,True,False,False,True,False,False,False,True,False,False
2.34,8.0,18.72,17,6,True,False,False,False,False,False,False,False,False,False,False,False,True,False
2.53,3.0,7.59,14,6,True,False,False,False,True,False,False,False,False,True,False,False,False,False
4.86,3.0,14.58,28,6,False,True,False,False,True,True,False,False,False,True,False,False,False,False
3.35,8.0,26.8,18,7,False,False,False,False,False,False,False,True,False,False,False,False,False,False
2.99,8.0,23.92,29,7,True,False,False,False,False,False,False,False,False,False,False,False,True,False
4.3,2.0,8.6,22,7,False,False,True,False,False,False,False,True,False,False,False,False,True,False
4.89,1.5,7.33,6,7,False,False,False,True,False,False,True,False,False,False,True,False,False,False
0.35,8.0,2.8,7,8,True,False,False,False,False,False,False,False,False,False,False,True,False,False
2.85,1.5,4.28,10,8,False,True,False,True,False,False,False,True,False,False,True,False,False,False
3.82,3.0,11.46,11,6,False,True,False,False,True,False,False,True,False,False,False,False,False,True
2.48,8.0,19.84,23,6,False,False,False,False,False,True,False,False,True,False,False,False,False,False
1.29,3.0,3.87,8,7,False,False,False,False,True,False,False,False,False,False,False,False,True,False
3.89,2.0,7.78,11,7,False,True,True,False,False,False,False,True,False,False,False,False,False,False
1.95,3.0,5.85,23,6,False,True,False,False,True,False,False,False,True,False,False,False,False,False
1.26,2.0,2.52,17,7,False,False,True,False,False,False,True,False,False,False,False,True,False,False
0.47,8.0,3.76,23,7,True,False,False,False,False,False,True,False,False,False,False,False,False,True
4.38,1.5,6.57,22,6,False,True,False,True,False,False,True,False,False,False,True,False,False,False
0.32,1.5,0.48,14,7,False,False,False,True,False,True,False,False,True,False,False,False,False,False
0.77,8.0,6.16,13,7,False,False,False,False,False,False,False,False,False,False,True,False,False,False
5.0,3.0,15.0,8,7,False,True,False,False,True,False,True,False,False,False,False,False,True,False
4.69,1.5,7.04,3,7,True,False,False,True,False,False,False,False,False,False,False,True,False,False
1.08,3.0,3.24,14,6,False,True,False,False,True,False,False,False,False,True,False,False,False,False
4.06,1.5,6.09,19,6,False,False,False,True,False,False,False,False,False,False,False,True,False,False
0.14,2.0,0.28,20,6,False,False,True,False,False,True,False,False,False,False,False,False,False,False
0.75,8.0,6.0,19,7,False,False,False,False,False,False,True,False,False,True,False,False,False,False
3.47,3.0,10.41,18,7,True,False,False,False,True,True,False,False,False,False,False,False,False,False
3.81,2.0,7.62,4,7,False,True,True,False,False,True,False,False,False,False,False,False,False,False
4.4,2.0,8.8,3,7,False,True,True,False,False,False,True,False,False,False,False,True,False,False
4.88,2.0,9.76,23,7,False,True,True,False,False,False,True,False,False,False,False,False,False,True
4.11,3.0,12.33,31,7,False,False,False,False,True,False,True,False,False,False,False,True,False,False
0.83,8.0,6.64,12,6,False,True,False,False,False,False,True,False,False,False,False,True,False,False
0.68,3.0,2.04,4,7,True,False,False,False,True,False,True,False,False,False,False,False,False,False
4.85,1.5,7.27,13,7,False,False,False,True,False,True,False,False,False,False,True,False,False,False
1.94,3.0,5.82,7,7,True,False,False,False,True,True,False,False,True,False,False,False,False,False
3.97,1.5,5.96,12,6,False,False,False,True,False,False,False,True,False,False,False,True,False,False
2.76,3.0,8.28,4,7,False,False,False,False,True,True,False,False,False,False,False,False,False,False
1.31,2.0,2.62,2,7,False,True,True,False,False,False,True,False,False,False,False,False,False,True
1.33,3.0,3.99,17,6,False,False,False,False,True,False,True,False,False,False,False,False,True,False
4.57,8.0,36.56,11,6,True,False,False,False,False,False,False,True,False,False,False,False,False,True
4.44,1.5,6.66,29,7,False,True,False,True,False,False,False,False,False,False,False,False,True,False
2.5,3.0,7.5,3,8,True,False,False,False,True,False,True,False,False,False,True,False,False,False
1.56,2.0,3.12,2,7,False,True,True,False,False,False,False,True,False,False,False,False,False,True
2.69,8.0,21.52,27,6,False,True,False,False,False,False,False,False,False,False,False,False,False,False
4.26,2.0,8.52,14,7,True,False,True,False,False,False,False,True,True,False,False,False,False,False
1.02,2.0,2.04,12,6,True,False,True,False,False,False,False,False,False,False,False,True,False,False
2.03,8.0,16.24,8,8,True,False,False,False,False,True,False,False,False,False,False,False,False,False
0.96,8.0,7.68,27,7,False,True,False,False,False,False,False,False,False,False,True,False,False,False
2.53,8.0,20.24,12,6,True,False,False,False,False,False,False,True,False,False,False,True,False,False
4.92,3.0,14.76,30,7,False,False,False,False,True,True,False,False,False,False,False,False,False,True
3.53,3.0,10.59,26,7,False,True,False,False,True,False,False,False,False,True,False,False,False,False
0.6,3.0,1.8,27,7,False,False,False,False,True,False,False,False,False,False,True,False,False,False
1.58,3.0,4.74,21,6,False,True,False,False,True,False,True,False,False,True,False,False,False,False
1.77,1.5,2.66,19,6,False,True,False,True,False,False,True,False,False,False,False,True,False,False
1.35,1.5,2.03,21,7,True,False,False,True,False,False,False,True,True,False,False,False,False,False
1.81,8.0,14.48,1,8,False,False,False,False,False,False,True,False,False,False,False,False,False,False
3.58,2.0,7.16,17,7,False,False,True,False,False,False,False,True,False,False,False,True,False,False
1.38,1.5,2.07,20,7,True,False,False,True,False,False,False,False,False,False,True,False,False,False
1.53,3.0,4.59,13,7,False,True,False,False,True,False,True,False,False,False,True,False,False,False
1.74,8.0,13.92,12,7,True,False,False,False,False,False,False,True,False,True,False,False,False,False
3.64,3.0,10.92,13,6,False,False,False,False,True,True,False,False,False,False,False,False,False,False
3.24,8.0,25.92,15,7,False,False,False,False,False,False,True,False,False,False,False,False,True,False
1.78,2.0,3.56,22,6,False,False,True,False,False,True,False,False,False,False,True,False,False,False
2.09,3.0,6.27,3,7,False,True,False,False,True,True,False,False,False,False,False,True,False,False
2.59,1.5,3.88,28,6,False,False,False,True,False,False,False,False,False,True,False,False,False,False
2.38,1.5,3.57,23,7,True,False,False,True,False,False,False,True,False,False,False,False,False,True
1.26,2.0,2.52,24,6,False,True,True,False,False,True,False,False,False,False,False,False,True,False
1.32,1.5,1.98,4,7,False,True,False,True,False,False,False,True,False,False,False,False,False,False
2.32,1.5,3.48,16,6,False,False,False,True,False,False,True,False,True,False,False,False,False,False
0.41,1.5,0.61,15,6,True,False,False,True,False,False,False,True,False,False,True,False,False,False
3.54,1.5,5.31,20,7,True,False,False,True,False,False,True,False,False,False,True,False,False,False
0.68,1.5,1.02,5,8,False,True,False,True,False,False,False,False,False,False,False,False,True,False
3.38,3.0,10.14,5,8,True,False,False,False,True,True,False,False,False,False,False,False,True,False
1.2,3.0,3.6,2,7,False,True,False,False,True,False,True,False,False,False,False,False,False,True
1.06,2.0,2.12,22,7,True,False,True,False,False,False,False,True,False,False,False,False,True,False
4.96,2.0,9.92,11,6,True,False,True,False,False,False,False,True,False,False,False,False,False,True
4.05,2.0,8.1,7,7,True,False,True,False,False,False,False,True,True,False,False,False,False,False
0.53,2.0,1.06,27,7,True,False,True,False,False,False,True,False,False,False,True,False,False,False
4.03,3.0,12.09,2,8,False,True,False,False,True,False,False,False,False,True,False,False,False,False
1.22,1.5,1.83,22,7,False,False,False,True,False,False,False,False,False,False,False,False,True,False
4.83,2.0,9.66,14,7,False,False,True,False,False,False,False,True,True,False,False,False,False,False
4.38,8.0,35.04,8,7,False,False,False,False,False,False,False,True,False,False,False,False,True,False
0.26,1.5,0.39,6,7,False,False,False,True,False,True,False,False,False,False,True,False,False,False
4.22,2.0,8.44,1,7,True,False,True,False,False,False,True,False,False,False,False,False,True,False
3.34,8.0,26.72,7,7,False,True,False,False,False,True,False,False,True,False,False,False,False,False
0.79,3.0,2.37,8,8,False,True,False,False,True,False,False,True,False,False,False,False,False,False
0.5,2.0,1.0,20,7,True,False,True,False,False,False,False,True,False,False,True,False,False,False
0.23,8.0,1.84,19,6,False,False,False,False,False,False,True,False,False,False,False,True,False,False
4.8,2.0,9.6,9,8,True,False,True,False,False,False,False,True,False,True,False,False,False,False
0.12,8.0,0.96,6,7,False,True,False,False,False,False,False,True,False,False,True,False,False,False
3.25,2.0,6.5,1,8,True,False,True,False,False,True,False,False,False,False,False,False,False,False
2.97,3.0,8.91,18,6,False,True,False,False,True,False,False,True,False,False,False,False,False,True
3.98,8.0,31.84,21,6,True,False,False,False,False,False,True,False,False,True,False,False,False,False
1.5,8.0,12.0,23,6,False,True,False,False,False,False,False,True,True,False,False,False,False,False
4.19,1.5,6.29,21,7,False,False,False,True,False,True,False,False,True,False,False,False,False,False
1.81,1.5,2.71,1,8,True,False,False,True,False,True,False,False,False,False,False,False,False,False
0.66,3.0,1.98,20,6,True,False,False,False,True,False,False,True,False,False,False,False,False,False
0.2,8.0,1.6,31,7,False,False,False,False,False,False,True,False,False,False,False,True,False,False
4.63,8.0,37.04,26,6,False,True,False,False,False,True,False,False,False,False,False,True,False,False
1.54,3.0,4.62,3,8,False,False,False,False,True,False,True,False,False,False,True,False,False,False
3.22,8.0,25.76,28,6,False,False,False,False,False,False,False,False,False,True,False,False,False,False
4.1,2.0,8.2,17,7,False,False,True,False,False,True,False,False,False,False,False,True,False,False
2.45,1.5,3.68,8,7,False,True,False,True,False,False,True,False,False,False,False,False,True,False
2.16,3.0,6.48,24,6,True,False,False,False,True,False,False,True,False,False,False,False,True,False
2.93,1.5,4.4,17,7,True,False,False,True,False,False,True,False,False,False,False,True,False,False
1.66,1.5,2.49,7,7,False,False,False,True,False,False,False,True,True,False,False,False,False,False
4.1,3.0,12.3,13,7,False,False,False,False,True,False,False,True,False,False,True,False,False,False
4.95,3.0,14.85,10,7,False,True,False,False,True,False,False,False,False,False,False,True,False,False
3.9,1.5,5.85,2,7,False,False,False,True,False,False,False,False,False,False,False,False,False,True
0.47,2.0,0.94,26,6,True,False,True,False,False,False,False,True,False,False,False,True,False,False
2.5,2.0,5.0,16,7,False,False,True,False,False,False,True,False,False,False,False,False,False,True
1.45,2.0,2.9,10,7,False,False,True,False,False,False,False,False,False,False,False,True,False,False
4.36,3.0,13.08,19,6,False,True,False,False,True,False,False,False,False,False,False,True,False,False
2.08,2.0,4.16,4,8,True,False,True,False,False,False,False,False,True,False,False,False,False,False
3.88,3.0,11.64,21,7,True,False,False,False,True,False,False,False,True,False,False,False,False,False
2.98,3.0,8.94,12,6,False,True,False,False,True,True,False,False,False,False,False,True,False,False
2.99,1.5,4.49,19,7,True,False,False,True,False,False,True,False,False,True,False,False,False,False
3.98,1.5,5.97,24,6,False,True,False,True,False,False,True,False,False,False,False,False,True,False
4.67,8.0,37.36,3,7,False,False,False,False,False,True,False,False,False,False,False,True,False,False
2.8,2.0,5.6,12,6,False,False,True,False,False,False,True,False,False,False,False,True,False,False
0.93,1.5,1.4,12,7,False,True,False,True,False,True,False,False,False,True,False,False,False,False
3.98,1.5,5.97,22,6,True,False,False,True,False,True,False,False,False,False,True,False,False,False
0.45,3.0,1.35,20,6,False,True,False,False,True,False,False,False,False,False,False,False,False,False
3.66,2.0,7.32,30,6,False,True,True,False,False,False,False,True,True,False,False,False,False,False
4.5,2.0,9.0,31,7,False,False,True,False,False,False,True,False,False,False,False,True,False,False
1.96,1.5,2.94,6,8,True,False,False,True,False,True,False,False,False,False,False,False,False,True
0.66,8.0,5.28,27,6,False,True,False,False,False,True,False,False,False,False,False,False,False,False
2.43,1.5,3.65,21,6,True,False,False,True,False,False,False,True,False,True,False,False,False,False
2.34,8.0,18.72,3,8,False,True,False,False,False,False,False,True,False,False,True,False,False,False
1.44,2.0,2.88,2,7,True,False,True,False,False,True,False,False,False,False,False,False,False,True
0.74,1.5,1.11,29,6,True,False,False,True,False,True,False,False,False,False,True,False,False,False
1.15,8.0,9.2,25,7,False,False,False,False,False,False,True,False,False,False,False,False,False,False
0.56,3.0,1.68,23,7,False,True,False,False,True,False,False,False,False,False,False,False,False,True
3.41,3.0,10.23,23,6,False,True,False,False,True,False,True,False,True,False,False,False,False,False
1.26,8.0,10.08,21,6,False,False,False,False,False,True,False,False,False,True,False,False,False,False
0.3,8.0,2.4,16,7,True,False,False,False,False,False,True,False,False,False,False,False,False,True
1.04,1.5,1.56,26,6,False,False,False,True,False,True,False,False,False,False,False,True,False,False
