Date,Meal,Canteen_Section,Food_Category,Waste_Weight_kg,Unit_Price_per_kg,Cost_Loss
2025-07-21,Dinner,C,Rice,2.93,2.0,5.86
2025-06-19,Lunch,C,Vegetables,2.16,3.0,6.48
2025-07-19,Dinner,C,Rice,0.52,2.0,1.04
2025-08-09,Breakfast,D,Soup,2.0,1.5,3.0
2025-07-20,Breakfast,B,Rice,3.08,2.0,6.16
2025-06-12,Breakfast,A,Soup,2.59,1.5,3.88
2025-07-13,Dinner,B,Rice,3.97,2.0,7.94
2025-07-31,Lunch,B,Meat,1.42,8.0,11.36
2025-08-02,Dinner,A,Rice,3.66,2.0,7.32
2025-06-19,Dinner,B,Soup,2.48,1.5,3.72
2025-07-29,Lunch,D,Soup,2.75,1.5,4.12
2025-07-08,Dinner,C,Vegetables,2.4,3.0,7.2
2025-06-17,Dinner,C,Soup,3.08,1.5,4.62
2025-06-22,Lunch,A,Rice,1.76,2.0,3.52
2025-07-11,Lunch,C,Meat,3.87,8.0,30.96
2025-06-29,Breakfast,B,Meat,0.86,8.0,6.88
2025-08-06,Lunch,C,Vegetables,4.02,3.0,12.06
2025-06-22,Dinner,B,Rice,4.7,2.0,9.4
2025-08-05,Lunch,A,Vegetables,3.62,3.0,10.86
2025-06-18,Lunch,A,Vegetables,2.19,3.0,6.57
2025-07-21,Breakfast,D,Meat,0.38,8.0,3.04
2025-07-21,Dinner,B,Rice,4.05,2.0,8.1
2025-06-12,Lunch,A,Soup,4.12,1.5,6.18
2025-07-15,Breakfast,B,Meat,4.8,8.0,38.4
2025-08-01,Lunch,A,Soup,4.3,1.5,6.45
2025-07-16,Dinner,D,Meat,0.6,8.0,4.8
2025-07-23,Lunch,A,Soup,4.61,1.5,6.92
2025-07-18,Lunch,A,Meat,1.17,8.0,9.36
2025-07-06,Lunch,B,Meat,2.74,8.0,21.92
2025-06-25,Breakfast,B,Soup,0.8,1.5,1.2
2025-06-22,Lunch,D,Meat,2.96,8.0,23.68
2025-06-25,Lunch,B,Meat,2.4,8.0,19.2
2025-06-26,Dinner,A,Soup,3.48,1.5,5.22
2025-07-31,Lunch,D,Meat,4.35,8.0,34.8
2025-07-13,Breakfast,A,Soup,4.74,1.5,7.11
2025-06-18,Dinner,A,Rice,1.72,2.0,3.44
2025-07-09,Breakfast,C,Rice,1.96,2.0,3.92
2025-07-12,Breakfast,D,Soup,1.99,1.5,2.98
2025-07-06,Lunch,B,Rice,3.34,2.0,6.68
2025-07-23,Breakfast,C,Meat,4.26,8.0,34.08
2025-07-30,Breakfast,D,Vegetables,3.17,3.0,9.51
2025-07-20,Dinner,C,Meat,2.56,8.0,20.48
2025-07-25,Lunch,A,Soup,0.4,1.5,0.6
2025-06-22,Breakfast,B,Meat,3.6,8.0,28.8
2025-07-17,Breakfast,B,Soup,3.9,1.5,5.85
2025-06-17,Dinner,B,Rice,2.45,2.0,4.9
2025-08-10,Dinner,A,Vegetables,4.01,3.0,12.03
2025-07-28,Breakfast,A,Rice,1.36,2.0,2.72
2025-06-28,Lunch,A,Vegetables,2.68,3.0,8.04
2025-08-09,Dinner,A,Vegetables,3.59,3.0,10.77
2025-07-13,Lunch,B,Meat,2.8,8.0,22.4
2025-06-15,Breakfast,C,Soup,4.86,1.5,7.29
2025-07-31,Lunch,B,Rice,4.15,2.0,8.3
2025-06-16,Lunch,A,Rice,3.74,2.0,7.48
2025-06-21,Lunch,A,Vegetables,2.87,3.0,8.61
2025-06-23,Dinner,B,Rice,4.19,2.0,8.38
2025-08-07,Breakfast,C,Vegetables,3.38,3.0,10.14
2025-06-13,Lunch,D,Rice,3.76,2.0,7.52
2025-08-02,Lunch,A,Soup,3.04,1.5,4.56
2025-07-25,Breakfast,C,Rice,0.95,2.0,1.9
2025-07-10,Dinner,D,Rice,0.46,2.0,0.92
2025-06-24,Lunch,C,Vegetables,3.28,3.0,9.84
2025-06-25,Dinner,A,Meat,0.32,8.0,2.56
2025-08-09,Dinner,A,Rice,3.54,2.0,7.08
2025-07-28,Lunch,B,Soup,1.94,1.5,2.91
2025-06-20,Lunch,D,Rice,0.66,2.0,1.32
2025-07-14,Lunch,C,Vegetables,0.22,3.0,0.66
2025-08-01,Lunch,B,Vegetables,1.42,3.0,4.26
2025-06-27,Dinner,C,Meat,1.67,8.0,13.36
2025-07-01,Lunch,A,Rice,1.75,2.0,3.5
2025-08-05,Breakfast,B,Soup,0.85,1.5,1.27
2025-06-11,Dinner,A,Rice,2.79,2.0,5.58
2025-07-17,Lunch,A,Soup,1.82,1.5,2.73
2025-07-16,Lunch,C,Vegetables,3.83,3.0,11.49
2025-07-28,Dinner,A,Vegetables,4.46,3.0,13.38
2025-07-08,Lunch,D,Vegetables,1.1,3.0,3.3
2025-07-20,Dinner,B,Soup,2.58,1.5,3.87
2025-07-10,Breakfast,B,Meat,4.05,8.0,32.4
2025-06-30,Lunch,D,Vegetables,1.89,3.0,5.67
2025-07-09,Breakfast,D,Rice,3.46,2.0,6.92
2025-07-02,Lunch,D,Meat,1.52,8.0,12.16
2025-07-07,Lunch,A,Rice,3.03,2.0,6.06
2025-07-12,Lunch,B,Meat,4.89,8.0,39.12
2025-07-26,Dinner,C,Vegetables,4.59,3.0,13.77
2025-07-05,Dinner,C,Soup,3.64,1.5,5.46
2025-07-07,Lunch,B,Vegetables,1.18,3.0,3.54
2025-07-14,Breakfast,A,Vegetables,0.52,3.0,1.56
2025-08-01,Dinner,A,Soup,4.84,1.5,7.26
2025-06-13,Dinner,D,Meat,0.49,8.0,3.92
2025-07-17,Dinner,A,Vegetables,4.35,3.0,13.05
2025-07-19,Lunch,A,Rice,2.17,2.0,4.34
2025-07-24,Dinner,D,Soup,1.72,1.5,2.58
2025-07-03,Dinner,D,Soup,4.4,1.5,6.6
2025-08-07,Breakfast,D,Rice,2.66,2.0,5.32
2025-07-22,Breakfast,C,Soup,4.66,1.5,6.99
2025-07-31,Lunch,A,Soup,2.27,1.5,3.41
2025-08-08,Breakfast,C,Soup,0.37,1.5,0.55
2025-08-08,Lunch,A,Soup,0.66,1.5,0.99
2025-08-03,Lunch,B,Soup,4.29,1.5,6.44
2025-07-29,Dinner,D,Rice,4.52,2.0,9.04
2025-07-13,Lunch,D,Soup,2.55,1.5,3.82
2025-07-23,Breakfast,D,Soup,0.39,1.5,0.58
2025-06-17,Lunch,B,Meat,2.68,8.0,21.44
2025-07-27,Dinner,C,Meat,3.57,8.0,28.56
2025-08-03,Dinner,B,Meat,0.12,8.0,0.96
2025-08-04,Lunch,D,Soup,4.6,1.5,6.9
2025-08-07,Dinner,D,Soup,2.12,1.5,3.18
2025-06-14,Lunch,D,Soup,3.75,1.5,5.62
2025-06-17,Breakfast,C,Rice,0.81,2.0,1.62
2025-07-06,Dinner,B,Rice,1.31,2.0,2.62
2025-07-30,Lunch,C,Soup,3.15,1.5,4.72
2025-07-15,Dinner,C,Soup,1.6,1.5,2.4
2025-07-24,Dinner,D,Rice,0.73,2.0,1.46
2025-06-15,Breakfast,A,Vegetables,2.26,3.0,6.78
2025-06-19,Dinner,D,Vegetables,3.42,3.0,10.26
2025-06-17,Dinner,A,Meat,2.34,8.0,18.72
2025-06-14,Dinner,A,Vegetables,2.53,3.0,7.59
2025-06-28,Lunch,B,Vegetables,4.86,3.0,14.58
2025-07-18,Breakfast,D,Meat,3.35,8.0,26.8
2025-07-29,Dinner,A,Meat,2.99,8.0,23.92
2025-07-22,Breakfast,D,Rice,4.3,2.0,8.6
2025-07-06,Breakfast,C,Soup,4.89,1.5,7.33
2025-08-07,Dinner,A,Meat,0.35,8.0,2.8
2025-08-10,Lunch,D,Soup,2.85,1.5,4.28
2025-06-11,Lunch,D,Vegetables,3.82,3.0,11.46
2025-06-23,Breakfast,B,Meat,2.48,8.0,19.84
2025-07-08,Breakfast,A,Vegetables,1.29,3.0,3.87
2025-07-11,Lunch,D,Rice,3.89,2.0,7.78
2025-06-23,Lunch,A,Vegetables,1.95,3.0,5.85
2025-07-17,Breakfast,C,Rice,1.26,2.0,2.52
2025-07-23,Dinner,C,Meat,0.47,8.0,3.76
2025-06-22,Lunch,C,Soup,4.38,1.5,6.57
2025-07-14,Breakfast,B,Soup,0.32,1.5,0.48
2025-07-13,Breakfast,A,Meat,0.77,8.0,6.16
2025-07-08,Lunch,C,Vegetables,5.0,3.0,15.0
2025-07-03,Dinner,A,Soup,4.69,1.5,7.04
2025-06-14,Lunch,A,Vegetables,1.08,3.0,3.24
2025-06-19,Breakfast,A,Soup,4.06,1.5,6.09
2025-06-20,Breakfast,B,Rice,0.14,2.0,0.28
2025-07-19,Breakfast,C,Meat,0.75,8.0,6.0
2025-07-18,Dinner,B,Vegetables,3.47,3.0,10.41
2025-07-04,Lunch,B,Rice,3.81,2.0,7.62
2025-07-03,Lunch,C,Rice,4.4,2.0,8.8
2025-07-23,Lunch,C,Rice,4.88,2.0,9.76
2025-07-31,Breakfast,C,Vegetables,4.11,3.0,12.33
2025-06-12,Lunch,C,Meat,0.83,8.0,6.64
2025-07-04,Dinner,C,Vegetables,0.68,3.0,2.04
2025-07-13,Breakfast,B,Soup,4.85,1.5,7.27
2025-07-07,Dinner,B,Vegetables,1.94,3.0,5.82
2025-06-12,Breakfast,D,Soup,3.97,1.5,5.96
2025-07-04,Breakfast,B,Vegetables,2.76,3.0,8.28
2025-07-02,Lunch,C,Rice,1.31,2.0,2.62
2025-06-17,Breakfast,C,Vegetables,1.33,3.0,3.99
2025-06-11,Dinner,D,Meat,4.57,8.0,36.56
2025-07-29,Lunch,A,Soup,4.44,1.5,6.66
2025-08-03,Dinner,C,Vegetables,2.5,3.0,7.5
2025-07-02,Lunch,D,Rice,1.56,2.0,3.12
2025-06-27,Lunch,A,Meat,2.69,8.0,21.52
2025-07-14,Dinner,D,Rice,4.26,2.0,8.52
2025-06-12,Dinner,A,Rice,1.02,2.0,2.04
2025-08-08,Dinner,B,Meat,2.03,8.0,16.24
2025-07-27,Lunch,A,Meat,0.96,8.0,7.68
2025-06-12,Dinner,D,Meat,2.53,8.0,20.24
2025-07-30,Breakfast,B,Vegetables,4.92,3.0,14.76
2025-07-26,Lunch,A,Vegetables,3.53,3.0,10.59
2025-07-27,Breakfast,A,Vegetables,0.6,3.0,1.8
2025-06-21,Lunch,C,Vegetables,1.58,3.0,4.74
2025-06-19,Lunch,C,Soup,1.77,1.5,2.66
2025-07-21,Dinner,D,Soup,1.35,1.5,2.03
2025-08-01,Breakfast,C,Meat,1.81,8.0,14.48
2025-07-17,Breakfast,D,Rice,3.58,2.0,7.16
2025-07-20,Dinner,A,Soup,1.38,1.5,2.07
2025-07-13,Lunch,C,Vegetables,1.53,3.0,4.59
2025-07-12,Dinner,D,Meat,1.74,8.0,13.92
2025-06-13,Breakfast,B,Vegetables,3.64,3.0,10.92
2025-07-15,Breakfast,C,Meat,3.24,8.0,25.92
2025-06-22,Breakfast,B,Rice,1.78,2.0,3.56
2025-07-03,Lunch,B,Vegetables,2.09,3.0,6.27
2025-06-28,Breakfast,A,Soup,2.59,1.5,3.88
2025-07-23,Dinner,D,Soup,2.38,1.5,3.57
2025-06-24,Lunch,B,Rice,1.26,2.0,2.52
2025-07-04,Lunch,D,Soup,1.32,1.5,1.98
2025-06-16,Breakfast,C,Soup,2.32,1.5,3.48
2025-06-15,Dinner,D,Soup,0.41,1.5,0.61
2025-07-20,Dinner,C,Soup,3.54,1.5,5.31
2025-08-05,Lunch,A,Soup,0.68,1.5,1.02
2025-08-05,Dinner,B,Vegetables,3.38,3.0,10.14
2025-07-02,Lunch,C,Vegetables,1.2,3.0,3.6
2025-07-22,Dinner,D,Rice,1.06,2.0,2.12
2025-06-11,Dinner,D,Rice,4.96,2.0,9.92
2025-07-07,Dinner,D,Rice,4.05,2.0,8.1
2025-07-27,Dinner,C,Rice,0.53,2.0,1.06
2025-08-02,Lunch,A,Vegetables,4.03,3.0,12.09
2025-07-22,Breakfast,A,Soup,1.22,1.5,1.83
2025-07-14,Breakfast,D,Rice,4.83,2.0,9.66
2025-07-08,Breakfast,D,Meat,4.38,8.0,35.04
2025-07-06,Breakfast,B,Soup,0.26,1.5,0.39
2025-07-01,Dinner,C,Rice,4.22,2.0,8.44
2025-07-07,Lunch,B,Meat,3.34,8.0,26.72
2025-08-08,Lunch,D,Vegetables,0.79,3.0,2.37
2025-07-20,Dinner,D,Rice,0.5,2.0,1.0
2025-06-19,Breakfast,C,Meat,0.23,8.0,1.84
2025-08-09,Dinner,D,Rice,4.8,2.0,9.6
2025-07-06,Lunch,D,Meat,0.12,8.0,0.96
2025-08-01,Dinner,B,Rice,3.25,2.0,6.5
2025-06-18,Lunch,D,Vegetables,2.97,3.0,8.91
2025-06-21,Dinner,C,Meat,3.98,8.0,31.84
2025-06-23,Lunch,D,Meat,1.5,8.0,12.0
2025-07-21,Breakfast,B,Soup,4.19,1.5,6.29
2025-08-01,Dinner,B,Soup,1.81,1.5,2.71
2025-06-20,Dinner,D,Vegetables,0.66,3.0,1.98
2025-07-31,Breakfast,C,Meat,0.2,8.0,1.6
2025-06-26,Lunch,B,Meat,4.63,8.0,37.04
2025-08-03,Breakfast,C,Vegetables,1.54,3.0,4.62
2025-06-28,Breakfast,A,Meat,3.22,8.0,25.76
2025-07-17,Breakfast,B,Rice,4.1,2.0,8.2
2025-07-08,Lunch,C,Soup,2.45,1.5,3.68
2025-06-24,Dinner,D,Vegetables,2.16,3.0,6.48
2025-07-17,Dinner,C,Soup,2.93,1.5,4.4
2025-07-07,Breakfast,D,Soup,1.66,1.5,2.49
2025-07-13,Breakfast,D,Vegetables,4.1,3.0,12.3
2025-07-10,Lunch,A,Vegetables,4.95,3.0,14.85
2025-07-02,Breakfast,A,Soup,3.9,1.5,5.85
2025-06-26,Dinner,D,Rice,0.47,2.0,0.94
2025-07-16,Breakfast,C,Rice,2.5,2.0,5.0
2025-07-10,Breakfast,A,Rice,1.45,2.0,2.9
2025-06-19,Lunch,A,Vegetables,4.36,3.0,13.08
2025-08-04,Dinner,A,Rice,2.08,2.0,4.16
2025-07-21,Dinner,A,Vegetables,3.88,3.0,11.64
2025-06-12,Lunch,B,Vegetables,2.98,3.0,8.94
2025-07-19,Dinner,C,Soup,2.99,1.5,4.49
2025-06-24,Lunch,C,Soup,3.98,1.5,5.97
2025-07-03,Breakfast,B,Meat,4.67,8.0,37.36
2025-06-12,Breakfast,C,Rice,2.8,2.0,5.6
2025-07-12,Lunch,B,Soup,0.93,1.5,1.4
2025-06-22,Dinner,B,Soup,3.98,1.5,5.97
2025-06-20,Lunch,A,Vegetables,0.45,3.0,1.35
2025-06-30,Lunch,D,Rice,3.66,2.0,7.32
2025-07-31,Breakfast,C,Rice,4.5,2.0,9.0
2025-08-06,Dinner,B,Soup,1.96,1.5,2.94
2025-06-27,Lunch,B,Meat,0.66,8.0,5.28
2025-06-21,Dinner,D,Soup,2.43,1.5,3.65
2025-08-03,Lunch,D,Meat,2.34,8.0,18.72
2025-07-02,Dinner,B,Rice,1.44,2.0,2.88
2025-06-29,Dinner,B,Soup,0.74,1.5,1.11
2025-07-25,Breakfast,C,Meat,1.15,8.0,9.2
2025-07-23,Lunch,A,Vegetables,0.56,3.0,1.68
2025-06-23,Lunch,C,Vegetables,3.41,3.0,10.23
2025-06-21,Breakfast,B,Meat,1.26,8.0,10.08
2025-07-16,Dinner,C,Meat,0.3,8.0,2.4
2025-06-26,Breakfast,B,Soup,1.04,1.5,1.56
2025-06-25,Lunch,A,Soup,2.82,1.5,4.23
2025-07-25,Breakfast,A,Vegetables,0.92,3.0,2.76
2025-08-06,Breakfast,D,Soup,2.24,1.5,3.36
2025-08-03,Lunch,A,Soup,4.35,1.5,6.52
2025-06-13,Lunch,C,Rice,0.44,2.0,0.88
2025-08-09,Breakfast,A,Vegetables,0.76,3.0,2.28
2025-07-16,Lunch,D,Meat,2.73,8.0,21.84
2025-06-23,Lunch,B,Vegetables,4.06,3.0,12.18
2025-07-10,Lunch,B,Meat,4.25,8.0,34.0
2025-07-28,Lunch,C,Soup,0.56,1.5,0.84
2025-06-28,Breakfast,D,Soup,1.62,1.5,2.43
2025-06-15,Dinner,C,Meat,1.25,8.0,10.0
2025-07-16,Dinner,D,Soup,3.78,1.5,5.67
2025-06-27,Lunch,C,Vegetables,1.38,3.0,4.14
2025-06-13,Breakfast,D,Soup,4.27,1.5,6.4
2025-08-07,Dinner,D,Rice,2.54,2.0,5.08
2025-06-15,Lunch,C,Vegetables,3.65,3.0,10.95
2025-06-27,Dinner,B,Soup,3.44,1.5,5.16
2025-07-06,Dinner,A,Soup,4.13,1.5,6.2
2025-08-08,Breakfast,A,Rice,2.83,2.0,5.66
2025-07-31,Breakfast,D,Soup,0.58,1.5,0.87
2025-07-14,Breakfast,B,Rice,3.32,2.0,6.64
2025-06-25,Breakfast,B,Rice,0.18,2.0,0.36
2025-07-19,Lunch,C,Meat,3.89,8.0,31.12
2025-07-26,Lunch,B,Soup,4.94,1.5,7.41
2025-07-10,Lunch,C,Soup,2.81,1.5,4.21
2025-07-05,Dinner,D,Rice,2.04,2.0,4.08
2025-07-01,Breakfast,A,Meat,2.59,8.0,20.72
2025-07-18,Breakfast,D,Vegetables,1.86,3.0,5.58
2025-07-17,Lunch,B,Vegetables,1.69,3.0,5.07
2025-08-10,Dinner,A,Rice,1.26,2.0,2.52
2025-07-25,Breakfast,A,Rice,0.31,2.0,0.62
2025-07-22,Breakfast,B,Meat,0.32,8.0,2.56
2025-08-05,Dinner,C,Soup,0.6,1.5,0.9
2025-07-10,Dinner,A,Soup,4.3,1.5,6.45
2025-07-03,Dinner,A,Meat,2.72,8.0,21.76
2025-06-11,Lunch,D,Meat,3.16,8.0,25.28
2025-07-21,Breakfast,C,Meat,0.42,8.0,3.36
2025-06-30,Breakfast,D,Soup,2.58,1.5,3.87
2025-07-21,Dinner,D,Meat,2.88,8.0,23.04
2025-07-08,Dinner,C,Rice,0.58,2.0,1.16
2025-07-26,Lunch,D,Vegetables,1.17,3.0,3.51
2025-07-20,Lunch,A,Soup,2.55,1.5,3.82
2025-07-05,Dinner,B,Vegetables,2.61,3.0,7.83
2025-06-14,Dinner,D,Rice,3.33,2.0,6.66
2025-06-14,Lunch,C,Vegetables,4.89,3.0,14.67
2025-06-20,Lunch,D,Soup,4.03,1.5,6.04
2025-06-11,Dinner,C,Soup,0.56,1.5,0.84
2025-06-12,Dinner,B,Soup,3.56,1.5,5.34
2025-06-28,Dinner,C,Soup,4.25,1.5,6.38
2025-07-01,Dinner,B,Soup,3.14,1.5,4.71
2025-06-16,Dinner,C,Vegetables,3.96,3.0,11.88
2025-08-05,Breakfast,A,Meat,0.2,8.0,1.6
2025-08-07,Breakfast,C,Meat,4.89,8.0,39.12
2025-06-19,Dinner,B,Rice,3.4,2.0,6.8
2025-08-10,Breakfast,B,Soup,4.22,1.5,6.33
2025-07-07,Lunch,C,Meat,4.75,8.0,38.0
2025-06-25,Breakfast,B,Vegetables,1.29,3.0,3.87
2025-07-29,Dinner,B,Vegetables,2.72,3.0,8.16
2025-07-01,Lunch,D,Vegetables,2.43,3.0,7.29
2025-07-30,Dinner,C,Rice,1.78,2.0,3.56
2025-06-14,Breakfast,B,Meat,1.35,8.0,10.8
2025-07-01,Lunch,A,Soup,3.57,1.5,5.35
2025-06-21,Breakfast,D,Soup,3.82,1.5,5.73
2025-07-24,Lunch,D,Soup,4.91,1.5,7.37
2025-07-09,Breakfast,D,Soup,4.84,1.5,7.26
2025-07-23,Dinner,C,Vegetables,1.09,3.0,3.27
2025-07-01,Dinner,B,Vegetables,3.18,3.0,9.54
2025-06-13,Dinner,B,Vegetables,1.54,3.0,4.62
2025-06-23,Dinner,A,Vegetables,4.06,3.0,12.18
2025-08-05,Dinner,B,Soup,0.83,1.5,1.24
2025-06-26,Lunch,B,Vegetables,2.64,3.0,7.92
2025-07-02,Breakfast,B,Vegetables,3.71,3.0,11.13
2025-07-31,Lunch,B,Soup,3.26,1.5,4.89
2025-07-28,Lunch,A,Meat,4.24,8.0,33.92
2025-08-06,Breakfast,D,Vegetables,1.85,3.0,5.55
2025-07-25,Lunch,B,Vegetables,1.08,3.0,3.24
2025-07-15,Breakfast,C,Vegetables,2.22,3.0,6.66
2025-07-29,Dinner,C,Meat,4.42,8.0,35.36
2025-07-06,Lunch,C,Vegetables,2.69,3.0,8.07
2025-06-15,Lunch,D,Meat,4.04,8.0,32.32
2025-07-18,Lunch,D,Rice,0.34,2.0,0.68
2025-07-04,Lunch,B,Soup,4.5,1.5,6.75
2025-07-28,Dinner,A,Soup,0.87,1.5,1.3
2025-07-24,Lunch,B,Vegetables,2.08,3.0,6.24
2025-06-14,Lunch,D,Meat,2.87,8.0,22.96
2025-07-31,Dinner,B,Soup,1.04,1.5,1.56
2025-07-23,Breakfast,B,Vegetables,4.76,3.0,14.28
2025-07-29,Breakfast,D,Soup,3.34,1.5,5.01
2025-07-07,Dinner,D,Meat,4.58,8.0,36.64
2025-07-26,Breakfast,D,Soup,3.52,1.5,5.28
2025-07-06,Dinner,C,Vegetables,4.07,3.0,12.21
2025-07-10,Breakfast,D,Meat,1.41,8.0,11.28
2025-06-17,Lunch,C,Vegetables,0.63,3.0,1.89
2025-06-14,Breakfast,C,Rice,4.52,2.0,9.04
2025-07-10,Dinner,B,Soup,1.14,1.5,1.71
2025-07-13,Lunch,C,Meat,2.25,8.0,18.0
2025-06-16,Dinner,A,Rice,1.86,2.0,3.72
2025-06-16,Lunch,D,Vegetables,2.77,3.0,8.31
2025-07-06,Dinner,D,Rice,3.85,2.0,7.7
2025-08-07,Lunch,D,Meat,0.47,8.0,3.76
2025-07-27,Dinner,B,Vegetables,0.92,3.0,2.76
2025-06-28,Lunch,D,Soup,4.83,1.5,7.25
2025-07-04,Lunch,D,Meat,0.79,8.0,6.32
2025-06-26,Lunch,A,Rice,4.48,2.0,8.96
2025-06-22,Dinner,C,Rice,4.08,2.0,8.16
2025-08-06,Dinner,A,Rice,4.72,2.0,9.44
2025-07-06,Lunch,D,Vegetables,0.21,3.0,0.63
2025-08-06,Breakfast,A,Meat,0.59,8.0,4.72
2025-08-02,Dinner,A,Vegetables,2.72,3.0,8.16
2025-06-26,Lunch,D,Rice,2.77,2.0,5.54
2025-06-16,Lunch,A,Meat,0.86,8.0,6.88
2025-07-23,Lunch,D,Meat,0.47,8.0,3.76
2025-06-13,Dinner,C,Soup,3.98,1.5,5.97
2025-08-05,Dinner,A,Rice,4.67,2.0,9.34
2025-08-07,Lunch,B,Soup,0.37,1.5,0.55
2025-06-29,Dinner,A,Meat,3.07,8.0,24.56
2025-08-02,Dinner,A,Meat,1.19,8.0,9.52
2025-06-16,Breakfast,D,Vegetables,4.74,3.0,14.22
2025-06-22,Dinner,D,Rice,3.46,2.0,6.92
2025-07-09,Lunch,D,Soup,3.85,1.5,5.78
2025-07-23,Lunch,D,Rice,4.12,2.0,8.24
2025-08-02,Lunch,A,Rice,4.51,2.0,9.02
2025-06-14,Lunch,C,Rice,4.96,2.0,9.92
2025-07-27,Lunch,B,Soup,4.75,1.5,7.12
2025-07-23,Lunch,B,Meat,2.65,8.0,21.2
2025-07-21,Dinner,B,Meat,1.43,8.0,11.44
2025-06-30,Breakfast,B,Rice,0.88,2.0,1.76
2025-06-17,Breakfast,A,Soup,1.71,1.5,2.56
2025-06-27,Lunch,B,Vegetables,3.7,3.0,11.1
2025-06-20,Breakfast,A,Meat,0.32,8.0,2.56
2025-08-08,Dinner,C,Vegetables,2.13,3.0,6.39
2025-06-19,Lunch,C,Rice,3.76,2.0,7.52
2025-07-08,Lunch,A,Meat,2.84,8.0,22.72
2025-07-28,Dinner,C,Soup,1.48,1.5,2.22
2025-06-13,Dinner,B,Soup,1.94,1.5,2.91
2025-07-25,Breakfast,D,Soup,1.3,1.5,1.95
2025-07-26,Lunch,A,Rice,4.58,2.0,9.16
2025-06-27,Dinner,A,Vegetables,4.28,3.0,12.84
2025-06-18,Lunch,D,Soup,2.85,1.5,4.28
2025-08-03,Breakfast,B,Rice,1.84,2.0,3.68
2025-07-09,Lunch,D,Vegetables,3.37,3.0,10.11
